"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2026","26.600","27.380","27.400","26.040","10.18M","-2.92%"
"02/18/2026","27.400","26.300","27.440","26.260","3.59M","4.18%"
"02/17/2026","26.300","26.120","26.300","25.740","2.37M","0.77%"
"02/16/2026","26.100","26.100","26.220","25.820","2.38M","0.23%"
"02/13/2026","26.040","26.520","27.960","26.040","14.12M","-2.40%"
"02/12/2026","26.680","26.060","26.680","25.840","3.56M","2.46%"
"02/11/2026","26.040","26.180","26.540","26.040","3.54M","-0.69%"
"02/10/2026","26.220","26.060","26.220","25.860","3.46M","0.46%"
"02/09/2026","26.100","26.080","26.180","25.380","3.99M","0.15%"
"02/06/2026","26.060","26.000","26.140","25.820","3.08M","-0.31%"
"02/05/2026","26.140","26.160","26.240","25.660","8.77M","-0.15%"
"02/04/2026","26.180","25.220","26.480","25.220","9.09M","3.48%"
"02/03/2026","25.300","24.800","25.380","24.700","6.80M","2.02%"
"02/02/2026","24.800","24.340","24.800","24.160","2.57M","1.89%"
"01/30/2026","24.340","24.500","24.520","24.220","6.10M","-0.98%"
"01/29/2026","24.580","24.240","24.580","23.980","5.40M","1.49%"
"01/28/2026","24.220","23.920","24.380","23.820","5.40M","0.92%"
"01/27/2026","24.000","23.100","24.000","22.960","7.20M","3.90%"
"01/26/2026","23.100","22.800","23.100","22.380","10.88M","1.32%"
"01/23/2026","22.800","23.200","23.200","22.700","8.77M","-1.72%"
"01/22/2026","23.200","23.020","23.480","22.820","12.67M","1.22%"
"01/21/2026","22.920","22.840","23.000","22.500","2.35M","0.26%"
"01/20/2026","22.860","22.600","22.900","22.440","4.12M","1.15%"
"01/19/2026","22.600","22.160","22.740","22.160","5.47M","2.26%"
"01/16/2026","22.100","21.580","22.100","21.440","2.85M","2.41%"
"01/15/2026","21.580","21.200","21.580","21.140","2.11M","1.79%"
"01/14/2026","21.200","21.560","21.760","21.200","3.04M","-1.85%"
"01/13/2026","21.600","20.960","21.600","20.820","3.59M","3.05%"
"01/12/2026","20.960","20.820","20.960","20.600","3.58M","0.67%"
"01/09/2026","20.820","21.000","21.020","20.820","1.31M","-0.86%"
"01/08/2026","21.000","20.800","21.040","20.760","2.67M","0.00%"
"01/07/2026","21.000","20.600","21.000","20.500","2.82M","1.84%"
"01/06/2026","20.620","20.500","20.640","20.300","3.92M","0.68%"
"01/05/2026","20.480","20.760","20.860","20.340","2.47M","-1.35%"
"01/02/2026","20.760","20.760","20.920","20.740","1.21M","0.00%"
"12/31/2025","20.760","20.700","20.880","20.700","1.35M","0.39%"
"12/30/2025","20.680","21.060","21.060","20.660","1.43M","-1.80%"
"12/29/2025","21.060","20.740","21.060","20.720","1.45M","1.64%"
"12/26/2025","20.720","20.680","20.820","20.680","323.26K","0.19%"
"12/25/2025","20.680","20.860","20.900","20.660","661.06K","-1.15%"
"12/24/2025","20.920","20.900","20.980","20.720","2.28M","0.10%"
"12/23/2025","20.900","21.220","21.220","20.840","2.00M","-1.42%"
"12/22/2025","21.200","21.160","21.200","21.040","1.70M","0.19%"
"12/19/2025","21.160","21.000","21.340","21.000","4.33M","0.76%"
"12/18/2025","21.000","20.840","21.000","20.840","2.05M","0.86%"
"12/17/2025","20.820","20.980","21.140","20.800","2.20M","-0.86%"
"12/16/2025","21.000","20.720","21.040","20.720","3.49M","1.35%"
"12/15/2025","20.720","20.900","20.900","20.600","2.32M","-0.86%"
"12/12/2025","20.900","20.740","20.900","20.740","2.59M","0.58%"
"12/11/2025","20.780","20.540","20.860","20.500","3.68M","1.27%"
"12/10/2025","20.520","20.300","20.620","20.180","2.77M","0.88%"
"12/09/2025","20.340","20.100","20.340","20.020","4.40M","1.29%"
"12/08/2025","20.080","20.400","20.420","20.080","2.68M","-1.57%"
"12/05/2025","20.400","20.220","20.400","20.200","1.97M","0.89%"
"12/04/2025","20.220","20.240","20.560","20.040","2.75M","-0.10%"
"12/03/2025","20.240","19.980","20.300","19.900","4.31M","1.71%"
"11/28/2025","19.900","19.760","20.040","19.460","2.86M","0.91%"
"11/27/2025","19.720","19.680","19.880","19.640","1.14M","0.31%"
"11/26/2025","19.660","19.980","20.000","19.340","3.94M","-1.31%"
"11/25/2025","19.920","20.220","20.220","19.800","3.02M","-1.39%"
"11/24/2025","20.200","20.900","20.900","19.980","6.23M","-3.35%"
"11/21/2025","20.900","20.900","21.000","20.600","2.63M","0.10%"
"11/20/2025","20.880","21.020","21.100","20.760","4.04M","-0.48%"
"11/19/2025","20.980","21.300","21.320","20.920","3.96M","-1.50%"
"11/18/2025","21.300","21.300","21.400","21.120","3.48M","-0.28%"
"11/17/2025","21.360","20.720","21.360","20.660","2.62M","3.59%"
"11/14/2025","20.620","20.780","21.000","20.620","1.59M","-0.87%"
"11/13/2025","20.800","21.400","21.400","20.800","2.51M","-2.80%"
"11/12/2025","21.400","21.420","21.440","21.220","4.82M","-0.09%"
"11/11/2025","21.420","21.420","21.600","21.300","4.49M","0.09%"
"11/10/2025","21.400","21.300","21.520","21.300","4.25M","0.56%"
"11/07/2025","21.280","20.900","21.340","20.800","3.22M","1.82%"
"11/06/2025","20.900","20.600","20.960","20.480","2.36M","1.16%"
"11/05/2025","20.660","20.660","20.820","20.420","1.61M","0.00%"
"11/04/2025","20.660","20.740","20.900","20.660","2.67M","-0.39%"
"11/03/2025","20.740","21.180","21.380","20.640","1.75M","-1.80%"
"10/31/2025","21.120","21.660","21.700","21.120","2.28M","-2.49%"
"10/30/2025","21.660","21.740","22.000","21.600","1.84M","-0.37%"
"10/29/2025","21.740","21.760","22.000","21.720","2.14M","0.09%"
"10/28/2025","21.720","21.900","21.900","21.500","3.47M","-0.82%"
"10/27/2025","21.900","21.860","22.100","21.800","2.69M","0.37%"
"10/24/2025","21.820","22.120","22.320","21.820","3.15M","-1.27%"
"10/23/2025","22.100","23.100","23.280","22.100","4.66M","-4.16%"
"10/22/2025","23.060","22.220","23.060","22.220","2.43M","3.97%"
"10/21/2025","22.180","22.180","22.240","21.920","2.27M","0.27%"
"10/20/2025","22.120","22.500","22.700","22.120","2.05M","-1.34%"
