"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2026","9.26","9.85","9.85","9.21","10.62M","-5.99%"
"02/18/2026","9.85","9.66","9.86","9.51","10.78M","1.97%"
"02/17/2026","9.66","9.53","9.87","9.53","10.56M","2.01%"
"02/16/2026","9.47","9.25","9.51","9.20","11.54M","2.49%"
"02/13/2026","9.24","9.33","9.42","9.10","11.02M","-0.96%"
"02/12/2026","9.33","9.44","9.48","9.32","10.96M","-1.27%"
"02/11/2026","9.45","9.48","9.50","9.35","10.89M","-0.42%"
"02/10/2026","9.49","9.25","9.55","9.21","11.00M","2.59%"
"02/09/2026","9.25","9.14","9.27","9.07","11.02M","1.09%"
"02/06/2026","9.15","9.22","9.22","9.05","11.05M","-0.65%"
"02/05/2026","9.21","9.20","9.25","9.09","11.38M","0.11%"
"02/04/2026","9.20","9.03","9.25","9.03","11.06M","2.22%"
"02/03/2026","9.00","9.04","9.11","9.00","10.95M","-0.44%"
"02/02/2026","9.04","8.92","9.13","8.51","11.40M","1.35%"
"01/30/2026","8.92","9.14","9.14","8.88","11.91M","-2.41%"
"01/29/2026","9.14","9.20","9.22","9.07","10.85M","-0.76%"
"01/28/2026","9.21","9.19","9.30","9.10","11.33M","0.44%"
"01/27/2026","9.17","9.27","9.40","9.17","11.25M","-1.08%"
"01/26/2026","9.27","9.36","9.36","9.18","11.00M","-0.96%"
"01/23/2026","9.36","9.23","9.37","9.10","11.38M","1.41%"
"01/22/2026","9.23","9.11","9.31","9.07","10.99M","1.32%"
"01/21/2026","9.11","9.23","9.23","9.02","11.13M","-1.30%"
"01/20/2026","9.23","9.06","9.25","9.06","11.64M","1.99%"
"01/19/2026","9.05","9.19","9.23","9.04","11.16M","-1.31%"
"01/16/2026","9.17","9.26","9.37","9.14","11.67M","-0.86%"
"01/15/2026","9.25","9.39","9.41","9.22","11.19M","-1.60%"
"01/14/2026","9.40","9.38","9.56","9.25","12.31M","0.32%"
"01/13/2026","9.37","9.54","9.62","9.33","11.14M","-1.68%"
"01/12/2026","9.53","9.49","9.53","9.32","9.86M","0.32%"
"01/09/2026","9.50","9.59","9.60","9.40","10.48M","-1.04%"
"01/08/2026","9.60","9.49","9.76","9.35","10.15M","1.05%"
"01/07/2026","9.50","9.40","9.55","9.36","10.66M","0.85%"
"01/06/2026","9.42","9.19","9.58","9.19","10.00M","2.61%"
"01/05/2026","9.18","9.40","9.40","9.08","11.45M","-2.34%"
"01/02/2026","9.40","9.53","9.56","9.35","9.83M","-1.05%"
"12/31/2025","9.50","9.72","9.86","9.50","9.85M","-2.06%"
"12/30/2025","9.70","9.57","9.83","9.56","5.95M","1.36%"
"12/29/2025","9.57","9.64","9.70","9.56","9.72M","-0.73%"
