"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2026","0.4640","0.5020","0.5040","0.4640","17.95M","-7.94%"
"02/18/2026","0.5040","0.5010","0.5060","0.5000","4.17M","1.20%"
"02/17/2026","0.4980","0.5110","0.5110","0.4960","11.81M","-2.16%"
"02/16/2026","0.5090","0.4840","0.5150","0.4830","35.25M","5.17%"
"02/13/2026","0.4840","0.4990","0.5000","0.4840","9.64M","-3.01%"
"02/12/2026","0.4990","0.5110","0.5150","0.4920","18.59M","0.60%"
"02/11/2026","0.4960","0.4790","0.5120","0.4790","53.06M","3.33%"
"02/10/2026","0.4800","0.4790","0.4870","0.4780","6.83M","0.00%"
"02/09/2026","0.4800","0.4790","0.4920","0.4760","13.53M","0.63%"
"02/06/2026","0.4770","0.4920","0.4960","0.4750","12.75M","-3.05%"
"02/05/2026","0.4920","0.4640","0.5020","0.4600","63.25M","6.49%"
"02/04/2026","0.4620","0.4620","0.4730","0.4620","11.10M","0.00%"
"02/03/2026","0.4620","0.4510","0.4670","0.4510","7.89M","2.44%"
"02/02/2026","0.4510","0.4490","0.4540","0.4480","4.93M","0.22%"
"01/30/2026","0.4500","0.4540","0.4570","0.4490","4.95M","-1.10%"
"01/29/2026","0.4550","0.4620","0.4630","0.4550","7.32M","-1.30%"
"01/28/2026","0.4610","0.4630","0.4660","0.4600","4.63M","-0.22%"
"01/27/2026","0.4620","0.4620","0.4670","0.4620","5.89M","0.43%"
"01/26/2026","0.4600","0.4710","0.4710","0.4590","10.42M","-2.13%"
"01/23/2026","0.4700","0.4730","0.4780","0.4690","12.76M","-0.21%"
"01/22/2026","0.4710","0.4730","0.4790","0.4700","19.05M","-0.42%"
"01/21/2026","0.4730","0.4620","0.4780","0.4620","26.97M","2.16%"
"01/20/2026","0.4630","0.4620","0.4640","0.4600","5.04M","0.65%"
"01/19/2026","0.4600","0.4640","0.4660","0.4600","8.85M","-0.65%"
"01/16/2026","0.4630","0.4620","0.4670","0.4570","5.84M","0.43%"
"01/15/2026","0.4610","0.4650","0.4680","0.4600","9.57M","-1.07%"
"01/14/2026","0.4660","0.4710","0.4810","0.4660","15.44M","-1.27%"
"01/13/2026","0.4720","0.4690","0.4730","0.4640","4.55M","1.07%"
"01/12/2026","0.4670","0.4660","0.4680","0.4620","3.35M","0.43%"
"01/09/2026","0.4650","0.4750","0.4750","0.4650","2.09M","-1.90%"
"01/08/2026","0.4740","0.4760","0.4770","0.4720","3.83M","-0.21%"
"01/07/2026","0.4750","0.4670","0.4790","0.4650","14.49M","1.71%"
"01/06/2026","0.4670","0.4660","0.4720","0.4640","8.48M","0.21%"
"01/05/2026","0.4660","0.4750","0.4750","0.4610","6.30M","-1.89%"
"01/02/2026","0.4750","0.4800","0.4830","0.4750","4.15M","-0.84%"
"12/31/2025","0.4790","0.4700","0.4800","0.4700","3.62M","2.13%"
"12/30/2025","0.4690","0.4840","0.4840","0.4660","8.55M","-3.30%"
"12/29/2025","0.4850","0.4880","0.4880","0.4800","6.93M","-0.61%"
"12/26/2025","0.4880","0.4800","0.4910","0.4760","7.14M","1.88%"
"12/25/2025","0.4790","0.4820","0.4870","0.4790","1.46M","-0.21%"
"12/24/2025","0.4800","0.4770","0.4890","0.4750","4.45M","0.42%"
"12/23/2025","0.4780","0.4810","0.4900","0.4710","12.21M","-0.42%"
"12/22/2025","0.4800","0.4870","0.4870","0.4750","4.02M","-1.23%"
"12/19/2025","0.4860","0.4930","0.4940","0.4780","13.85M","-1.42%"
"12/18/2025","0.4930","0.4890","0.4950","0.4890","3.42M","0.41%"
"12/17/2025","0.4910","0.4880","0.4910","0.4870","1.28M","0.82%"
"12/16/2025","0.4870","0.4940","0.4950","0.4870","4.49M","-1.42%"
"12/15/2025","0.4940","0.5000","0.5020","0.4930","6.82M","-1.20%"
"12/12/2025","0.5000","0.4880","0.5050","0.4850","46.05M","4.17%"
"12/11/2025","0.4800","0.4900","0.4900","0.4800","5.72M","-1.84%"
"12/10/2025","0.4890","0.4960","0.5010","0.4860","17.51M","-1.41%"
"12/09/2025","0.4960","0.5050","0.5060","0.4950","21.30M","-1.78%"
"12/08/2025","0.5050","0.5010","0.5160","0.5000","21.08M","0.80%"
"12/05/2025","0.5010","0.5090","0.5100","0.5000","11.30M","-1.57%"
"12/04/2025","0.5090","0.5130","0.5160","0.5080","11.63M","-0.78%"
"12/03/2025","0.5130","0.5150","0.5190","0.5100","9.07M","0.20%"
"11/28/2025","0.5120","0.5130","0.5190","0.5040","13.79M","0.39%"
"11/27/2025","0.5100","0.5190","0.5270","0.5100","24.17M","-0.97%"
"11/26/2025","0.5150","0.5000","0.5230","0.5000","51.77M","3.00%"
"11/25/2025","0.5000","0.5000","0.5110","0.4960","19.41M","0.00%"
"11/24/2025","0.5000","0.5040","0.5300","0.4980","38.33M","-1.38%"
"11/21/2025","0.5070","0.5400","0.5590","0.5010","95.86M","-5.06%"
"11/20/2025","0.5340","0.4650","0.5340","0.4650","122.30M","14.84%"
"11/19/2025","0.4650","0.4800","0.4800","0.4630","9.31M","-3.12%"
"11/18/2025","0.4800","0.4630","0.4830","0.4590","15.79M","3.23%"
"11/17/2025","0.4650","0.4750","0.4760","0.4620","3.35M","-2.11%"
"11/14/2025","0.4750","0.4560","0.4790","0.4510","14.95M","3.94%"
"11/13/2025","0.4570","0.4560","0.4600","0.4440","9.19M","-0.22%"
"11/12/2025","0.4580","0.4710","0.4750","0.4500","15.75M","-2.76%"
"11/11/2025","0.4710","0.4720","0.4730","0.4580","21.05M","0.21%"
"11/10/2025","0.4700","0.4760","0.4910","0.4700","8.89M","-1.67%"
"11/07/2025","0.4780","0.4710","0.4920","0.4710","36.54M","1.70%"
"11/06/2025","0.4700","0.4360","0.4700","0.4360","46.38M","7.80%"
"11/05/2025","0.4360","0.4330","0.4460","0.4190","50.31M","1.16%"
"11/04/2025","0.4310","0.4300","0.4340","0.4180","24.89M","-0.23%"
"11/03/2025","0.4320","0.4340","0.4390","0.4280","12.67M","0.00%"
"10/31/2025","0.4320","0.4400","0.4440","0.4270","8.54M","-1.82%"
"10/30/2025","0.4400","0.4500","0.4520","0.4400","11.12M","-2.65%"
"10/29/2025","0.4520","0.4620","0.4690","0.4500","21.12M","-1.95%"
"10/28/2025","0.4610","0.4660","0.4660","0.4580","7.92M","-0.86%"
"10/27/2025","0.4650","0.4730","0.4800","0.4640","10.46M","-1.69%"
"10/24/2025","0.4730","0.4730","0.4750","0.4620","22.39M","0.21%"
"10/23/2025","0.4720","0.4750","0.4780","0.4700","7.65M","-0.84%"
"10/22/2025","0.4760","0.4830","0.4830","0.4760","4.19M","-1.65%"
"10/21/2025","0.4840","0.4830","0.4900","0.4780","4.76M","0.41%"
"10/20/2025","0.4820","0.4860","0.4890","0.4820","1.56M","-0.62%"
"10/17/2025","0.4850","0.4890","0.4910","0.4830","6.21M","-1.02%"
"10/16/2025","0.4900","0.4840","0.4980","0.4780","15.67M","1.24%"
"10/15/2025","0.4840","0.4930","0.4950","0.4840","9.81M","-2.02%"
"10/14/2025","0.4940","0.5020","0.5030","0.4910","8.78M","-1.79%"
"10/13/2025","0.5030","0.5120","0.5120","0.4950","17.19M","-2.14%"
"10/10/2025","0.5140","0.5170","0.5190","0.5140","1.86M","-0.58%"
"10/09/2025","0.5170","0.5190","0.5200","0.5140","2.98M","-0.39%"
"10/08/2025","0.5190","0.5220","0.5220","0.5160","2.29M","-0.57%"
"10/07/2025","0.5220","0.5210","0.5230","0.5150","13.01M","0.00%"
"10/06/2025","0.5220","0.5190","0.5330","0.5130","10.14M","-0.95%"
"10/03/2025","0.5270","0.5330","0.5330","0.5250","5.09M","-0.94%"
"10/02/2025","0.5320","0.5270","0.5400","0.5270","12.33M","0.76%"
"10/01/2025","0.5280","0.5240","0.5280","0.5190","7.29M","0.76%"
"09/30/2025","0.5240","0.5260","0.5300","0.5220","3.68M","-0.57%"
"09/29/2025","0.5270","0.5250","0.5290","0.5200","2.04M","0.57%"
"09/26/2025","0.5240","0.5230","0.5260","0.5210","943.33K","0.38%"
"09/25/2025","0.5220","0.5190","0.5350","0.5190","12.37M","0.77%"
"09/24/2025","0.5180","0.5310","0.5310","0.5120","10.27M","-2.45%"
"09/23/2025","0.5310","0.5340","0.5380","0.5300","23.54M","-0.93%"
"09/22/2025","0.5360","0.5350","0.5390","0.5330","4.43M","0.19%"
"09/19/2025","0.5350","0.5400","0.5400","0.5350","4.39M","-0.56%"
"09/18/2025","0.5380","0.5360","0.5430","0.5330","14.34M","0.75%"
"09/17/2025","0.5340","0.5440","0.5440","0.5300","18.05M","-1.66%"
"09/16/2025","0.5430","0.5440","0.5460","0.5380","15.24M","-0.55%"
"09/15/2025","0.5460","0.5410","0.5480","0.5400","12.08M","0.92%"
"09/12/2025","0.5410","0.5380","0.5440","0.5380","6.73M","0.93%"
"09/11/2025","0.5360","0.5320","0.5440","0.5300","11.94M","2.29%"
"09/10/2025","0.5240","0.5290","0.5290","0.5170","5.46M","-0.95%"
"09/09/2025","0.5290","0.5250","0.5300","0.5230","3.10M","0.57%"
"09/08/2025","0.5260","0.5350","0.5380","0.5220","6.01M","-2.23%"
"09/04/2025","0.5380","0.5400","0.5400","0.5350","4.49M","-0.37%"
"09/03/2025","0.5400","0.5400","0.5500","0.5390","12.09M","-0.18%"
"09/02/2025","0.5410","0.5320","0.5430","0.5270","7.73M","0.93%"
"09/01/2025","0.5360","0.5590","0.5590","0.5350","15.75M","-4.29%"
"08/29/2025","0.5600","0.5620","0.5670","0.5580","10.86M","-0.36%"
"08/28/2025","0.5620","0.5720","0.5720","0.5580","19.85M","-2.09%"
"08/27/2025","0.5740","0.5790","0.5790","0.5700","12.70M","0.00%"
"08/26/2025","0.5740","0.5760","0.5780","0.5720","20.92M","-0.17%"
"08/25/2025","0.5750","0.5800","0.5830","0.5700","32.61M","-0.35%"
"08/22/2025","0.5770","0.5680","0.5790","0.5680","45.94M","1.94%"
"08/21/2025","0.5660","0.5620","0.5740","0.5600","62.34M","1.07%"
"08/20/2025","0.5600","0.5440","0.5610","0.5420","46.53M","2.75%"
"08/19/2025","0.5450","0.5420","0.5460","0.5410","9.59M","0.55%"
"08/18/2025","0.5420","0.5400","0.5450","0.5380","8.74M","0.37%"
"08/15/2025","0.5400","0.5410","0.5430","0.5370","4.23M","-0.18%"
"08/14/2025","0.5410","0.5500","0.5530","0.5370","12.82M","-0.55%"
"08/13/2025","0.5440","0.5370","0.5600","0.5370","25.42M","1.12%"
"08/12/2025","0.5380","0.5400","0.5440","0.5340","17.56M","0.37%"
"08/11/2025","0.5360","0.5290","0.5400","0.5250","37.97M","1.90%"
"08/08/2025","0.5260","0.5220","0.5260","0.5140","12.82M","1.54%"
"08/07/2025","0.5180","0.5240","0.5280","0.5170","12.08M","-0.77%"
"08/06/2025","0.5220","0.5150","0.5300","0.5140","38.00M","1.56%"
"08/05/2025","0.5140","0.5100","0.5200","0.5100","8.24M","0.78%"
"08/04/2025","0.5100","0.5240","0.5250","0.5000","13.71M","-2.86%"
"08/01/2025","0.5250","0.5400","0.5400","0.5200","20.53M","-1.87%"
"07/31/2025","0.5350","0.5420","0.5420","0.5350","4.83M","-1.29%"
"07/30/2025","0.5420","0.5390","0.5460","0.5320","13.05M","0.56%"
"07/29/2025","0.5390","0.5500","0.5530","0.5290","25.87M","-1.82%"
"07/28/2025","0.5490","0.5640","0.5640","0.5490","24.08M","-2.14%"
"07/25/2025","0.5610","0.5610","0.5710","0.5570","26.99M","-0.18%"
"07/24/2025","0.5620","0.5570","0.5670","0.5500","39.41M","1.81%"
"07/23/2025","0.5520","0.5600","0.5610","0.5450","24.54M","-0.90%"
"07/22/2025","0.5570","0.5640","0.5890","0.5550","61.22M","-0.54%"
"07/21/2025","0.5600","0.5370","0.5700","0.5360","79.31M","4.09%"
"07/18/2025","0.5380","0.5400","0.5440","0.5330","7.64M","-0.37%"
"07/17/2025","0.5400","0.5430","0.5450","0.5340","16.09M","-0.37%"
"07/16/2025","0.5420","0.5400","0.5500","0.5330","18.66M","1.12%"
"07/15/2025","0.5360","0.5430","0.5620","0.5310","93.99M","-0.56%"
"07/14/2025","0.5390","0.5120","0.5470","0.5120","114.90M","6.52%"
"07/11/2025","0.5060","0.4830","0.5200","0.4760","131.59M","4.76%"
"07/10/2025","0.4830","0.4920","0.4980","0.4750","41.14M","-0.21%"
"07/09/2025","0.4840","0.4590","0.4950","0.4550","77.70M","6.14%"
