"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2026","20.08","20.70","20.70","19.96","5.42M","-3.00%"
"02/18/2026","20.70","20.06","20.70","19.94","5.35M","3.19%"
"02/17/2026","20.06","20.02","20.06","19.72","2.65M","0.10%"
"02/16/2026","20.04","20.18","20.18","19.88","1.97M","-0.60%"
"02/13/2026","20.16","20.02","20.18","19.94","2.52M","0.80%"
"02/12/2026","20.00","20.00","20.18","19.92","7.77M","0.00%"
"02/11/2026","20.00","19.90","20.02","19.90","4.90M","0.30%"
"02/10/2026","19.94","19.80","19.94","19.66","4.61M","0.61%"
"02/09/2026","19.82","19.96","20.04","19.64","5.65M","-0.70%"
"02/06/2026","19.96","19.90","20.02","19.82","4.91M","-0.10%"
"02/05/2026","19.98","19.96","20.04","19.70","5.16M","0.10%"
"02/04/2026","19.96","19.78","20.06","19.54","8.05M","0.81%"
"02/03/2026","19.80","18.82","19.80","18.74","13.08M","5.66%"
"02/02/2026","18.74","18.56","18.76","18.46","5.81M","0.75%"
"01/30/2026","18.60","18.86","18.86","18.60","5.54M","-1.38%"
"01/29/2026","18.86","18.88","19.04","18.84","6.47M","-0.11%"
"01/28/2026","18.88","18.62","19.00","18.62","9.03M","0.75%"
"01/27/2026","18.74","18.64","19.04","18.64","7.44M","-0.11%"
"01/26/2026","18.76","18.92","18.92","18.50","3.78M","-0.74%"
"01/23/2026","18.90","18.94","19.04","18.80","2.85M","-0.42%"
"01/22/2026","18.98","18.66","18.98","18.66","7.84M","1.82%"
"01/21/2026","18.64","18.72","18.82","18.62","5.30M","-0.53%"
"01/20/2026","18.74","18.56","18.74","18.44","5.98M","1.08%"
"01/19/2026","18.54","18.10","18.54","18.10","3.33M","2.43%"
"01/16/2026","18.10","17.88","18.10","17.82","4.48M","1.34%"
"01/15/2026","17.86","17.80","17.94","17.64","4.11M","0.11%"
"01/14/2026","17.84","17.96","18.06","17.78","5.25M","-0.78%"
"01/13/2026","17.98","17.66","18.02","17.62","6.90M","1.81%"
"01/12/2026","17.66","17.64","17.72","17.48","4.07M","0.00%"
"01/09/2026","17.66","17.78","17.78","17.52","1.89M","-0.79%"
"01/08/2026","17.80","17.74","17.82","17.66","2.45M","0.45%"
"01/07/2026","17.72","17.40","17.72","17.40","2.50M","1.37%"
"01/06/2026","17.48","17.28","17.48","17.28","3.45M","1.16%"
"01/05/2026","17.28","17.32","17.46","17.14","3.63M","-1.03%"
"01/02/2026","17.46","17.44","17.50","17.40","626.21K","0.11%"
"12/31/2025","17.44","17.30","17.54","17.30","3.06M","0.81%"
"12/30/2025","17.30","17.80","17.80","17.24","3.71M","-2.81%"
"12/29/2025","17.80","17.58","17.80","17.56","4.82M","1.25%"
"12/26/2025","17.58","17.62","17.62","17.46","1.27M","0.46%"
"12/25/2025","17.50","17.54","17.58","17.48","3.08M","-0.23%"
"12/24/2025","17.54","17.60","17.64","17.48","2.24M","-0.34%"
"12/23/2025","17.60","17.50","17.68","17.42","1.90M","0.57%"
"12/22/2025","17.50","17.14","17.50","17.12","2.66M","2.10%"
"12/19/2025","17.14","17.10","17.28","17.06","7.87M","0.23%"
"12/18/2025","17.10","16.86","17.10","16.80","4.60M","1.54%"
"12/17/2025","16.84","16.78","16.88","16.72","3.91M","0.36%"
"12/16/2025","16.78","16.78","16.82","16.68","3.09M","0.00%"
"12/15/2025","16.78","16.76","16.80","16.70","2.62M","0.00%"
"12/12/2025","16.78","16.88","16.88","16.64","2.17M","-0.59%"
"12/11/2025","16.88","16.70","16.88","16.70","3.68M","0.96%"
"12/10/2025","16.72","16.88","16.88","16.66","2.35M","-0.59%"
"12/09/2025","16.82","16.84","16.86","16.70","5.69M","-0.24%"
"12/08/2025","16.86","16.62","16.90","16.50","4.14M","1.44%"
"12/05/2025","16.62","16.50","16.62","16.48","2.62M","0.73%"
"12/04/2025","16.50","16.40","16.76","16.38","4.66M","0.61%"
"12/03/2025","16.40","16.00","16.40","15.98","4.22M","3.54%"
"11/28/2025","15.84","15.80","16.10","15.70","4.77M","0.13%"
"11/27/2025","15.82","15.96","15.96","15.74","2.92M","0.00%"
"11/26/2025","15.82","15.94","16.08","15.80","3.29M","-0.88%"
"11/25/2025","15.96","15.82","16.06","15.76","6.36M","1.01%"
"11/24/2025","15.80","16.04","16.04","15.76","14.37M","-1.50%"
"11/21/2025","16.04","16.40","16.40","15.94","4.06M","-2.31%"
"11/20/2025","16.42","16.64","16.74","16.42","3.84M","-1.20%"
"11/19/2025","16.62","16.80","16.80","16.56","2.87M","-1.19%"
"11/18/2025","16.82","17.00","17.00","16.72","2.73M","-1.06%"
"11/17/2025","17.00","17.06","17.08","16.78","13.35M","-0.35%"
"11/14/2025","17.06","17.02","17.08","16.84","1.75M","0.24%"
"11/13/2025","17.02","17.12","17.12","16.84","3.40M","-0.47%"
"11/12/2025","17.10","17.22","17.22","16.98","2.69M","-0.58%"
"11/11/2025","17.20","17.22","17.30","17.10","2.24M","-0.12%"
"11/10/2025","17.22","17.38","17.52","17.22","2.33M","-1.37%"
"11/07/2025","17.46","17.26","17.46","17.10","2.25M","1.28%"
"11/06/2025","17.24","16.96","17.24","16.96","3.16M","1.77%"
"11/05/2025","16.94","17.24","17.26","16.94","3.73M","-1.85%"
"11/04/2025","17.26","17.28","17.50","17.24","3.19M","0.35%"
"11/03/2025","17.20","17.44","17.46","17.16","2.88M","-1.38%"
"10/31/2025","17.44","17.74","17.74","17.26","2.80M","-1.80%"
"10/30/2025","17.76","17.60","17.76","17.58","4.46M","1.02%"
"10/29/2025","17.58","17.38","17.62","17.38","3.27M","1.15%"
"10/28/2025","17.38","17.38","17.46","17.18","4.97M","0.00%"
"10/27/2025","17.38","17.16","17.54","17.16","4.19M","1.64%"
"10/24/2025","17.10","17.16","17.16","16.92","2.20M","-0.35%"
"10/23/2025","17.16","17.22","17.22","17.04","3.07M","-0.46%"
"10/22/2025","17.24","16.66","17.26","16.66","10.21M","5.12%"
