"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2026","399.600","399.500","399.600","399.400","183.80K","0.00%"
"02/18/2026","399.600","399.500","399.600","399.400","247.74K","0.03%"
"02/17/2026","399.500","399.500","399.600","399.400","266.95K","0.00%"
"02/16/2026","399.500","399.500","399.600","399.400","239.47K","0.00%"
"02/13/2026","399.500","399.500","399.600","399.400","250.37K","0.00%"
"02/12/2026","399.500","399.500","399.600","399.400","272.15K","-0.03%"
"02/11/2026","399.600","399.500","399.600","399.400","263.40K","0.03%"
"02/10/2026","399.500","399.600","399.600","399.400","249.19K","0.00%"
"02/09/2026","399.500","399.500","399.600","399.400","258.14K","-0.03%"
"02/06/2026","399.600","399.600","399.600","399.400","237.11K","0.00%"
"02/05/2026","399.600","399.500","399.600","399.400","263.01K","0.00%"
"02/04/2026","399.600","399.500","399.600","399.400","195.79K","0.03%"
"02/03/2026","399.500","399.500","399.600","399.400","232.84K","0.00%"
"02/02/2026","399.500","399.500","399.600","399.400","251.66K","0.00%"
"01/30/2026","399.500","399.600","399.600","399.400","252.37K","-0.03%"
"01/29/2026","399.600","399.500","399.600","399.400","226.58K","0.03%"
"01/28/2026","399.500","399.600","399.600","399.400","243.83K","-0.03%"
"01/27/2026","399.600","399.500","399.600","399.300","346.41K","0.00%"
"01/26/2026","399.600","399.500","399.600","399.400","251.00K","0.00%"
"01/23/2026","399.600","399.600","399.600","399.500","268.99K","0.03%"
"01/22/2026","399.500","399.600","399.600","399.400","241.04K","-0.03%"
"01/21/2026","399.600","399.500","399.600","399.500","238.73K","0.00%"
"01/20/2026","399.600","399.500","399.600","399.500","252.94K","0.00%"
"01/19/2026","399.600","399.600","399.600","399.500","252.45K","0.00%"
"01/16/2026","399.600","399.500","399.600","399.400","247.99K","0.03%"
"01/15/2026","399.500","399.500","399.600","399.400","246.01K","-0.03%"
"01/14/2026","399.600","399.600","399.600","399.400","248.32K","0.00%"
"01/13/2026","399.600","399.500","399.600","399.500","252.40K","0.00%"
"01/12/2026","399.600","399.500","399.600","399.500","242.17K","0.00%"
"01/09/2026","399.600","399.500","399.600","399.400","242.29K","0.03%"
"01/08/2026","399.500","399.600","399.700","399.500","273.58K","0.00%"
"01/07/2026","399.500","399.500","399.500","399.000","229.59K","-0.03%"
"01/06/2026","399.600","399.500","399.600","399.400","245.88K","0.00%"
"01/05/2026","399.600","399.500","399.600","399.400","241.09K","0.03%"
"01/02/2026","399.500","399.600","400.000","399.500","209.02K","0.00%"
"12/31/2025","399.500","399.500","399.600","399.500","269.78K","-0.03%"
"12/30/2025","399.600","399.500","399.600","399.500","217.88K","0.00%"
"12/29/2025","399.600","399.600","399.600","399.500","256.86K","0.00%"
"12/26/2025","399.600","399.600","399.600","399.500","190.17K","0.03%"
"12/25/2025","399.500","399.500","399.600","399.500","202.28K","0.00%"
"12/24/2025","399.500","399.500","399.600","399.400","221.89K","-0.03%"
"12/23/2025","399.600","399.600","399.600","399.500","233.87K","0.03%"
"12/22/2025","399.500","399.600","399.600","399.500","235.96K","-0.05%"
"12/19/2025","399.700","399.500","399.700","399.500","225.78K","0.00%"
"12/18/2025","399.700","399.500","399.700","399.500","242.84K","0.05%"
"12/17/2025","399.500","399.500","399.600","399.400","276.11K","0.00%"
"12/16/2025","399.500","399.500","399.600","399.500","233.44K","-0.03%"
"12/15/2025","399.600","399.600","399.600","399.500","205.81K","0.00%"
"12/12/2025","399.600","399.800","399.800","399.500","186.93K","-0.08%"
"12/11/2025","399.900","399.500","399.900","399.500","224.68K","0.10%"
"12/10/2025","399.500","399.600","399.600","399.500","231.05K","-0.05%"
"12/09/2025","399.700","399.500","399.900","399.500","233.84K","0.05%"
"12/08/2025","399.500","400.000","400.000","399.500","182.29K","0.00%"
"12/05/2025","399.500","400.300","400.300","399.500","241.24K","0.00%"
"12/04/2025","399.500","399.500","399.800","399.500","268.71K","0.00%"
"12/03/2025","399.500","400.000","400.000","399.500","311.45K","-0.13%"
"11/28/2025","400.000","399.600","400.000","399.500","822.29K","0.13%"
"11/27/2025","399.500","399.700","400.000","399.500","333.40K","-0.05%"
"11/26/2025","399.700","400.000","400.000","399.500","232.91K","-0.10%"
"11/25/2025","400.100","400.100","400.100","399.600","919.81K","0.00%"
"11/24/2025","400.100","399.500","400.300","399.500","900.72K","-0.05%"
"11/21/2025","400.300","400.000","400.300","399.500","930.79K","0.18%"
"11/20/2025","399.600","399.600","399.700","399.500","838.97K","-0.10%"
"11/19/2025","400.000","399.500","400.000","399.500","1.33M","0.08%"
"11/18/2025","399.700","399.500","399.900","399.500","234.21K","0.03%"
"11/17/2025","399.600","399.500","399.600","399.500","1.17M","0.03%"
"11/14/2025","399.500","399.700","399.700","399.500","409.10K","-0.03%"
"11/13/2025","399.600","399.900","399.900","399.500","380.10K","0.03%"
"11/12/2025","399.500","400.100","400.100","399.500","271.10K","0.00%"
"11/11/2025","399.500","400.000","400.000","399.500","252.19K","0.00%"
"11/10/2025","399.500","399.700","400.000","399.500","269.80K","0.00%"
"11/07/2025","399.500","399.700","399.900","399.500","94.13K","0.00%"
"11/06/2025","399.500","400.400","401.000","399.500","68.10K","-0.37%"
"11/05/2025","401.000","400.000","401.000","400.000","147.03K","0.25%"
"11/04/2025","400.000","400.000","400.100","400.000","236.76K","0.00%"
"11/03/2025","400.000","400.100","400.400","400.000","187.24K","0.00%"
"10/31/2025","400.000","400.200","400.500","400.000","212.43K","-0.02%"
"10/30/2025","400.100","400.000","400.200","400.000","243.47K","0.03%"
"10/29/2025","400.000","400.000","400.200","400.000","317.59K","-0.07%"
