"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2026","0.581","0.588","0.624","0.563","1.26M","-2.35%"
"02/18/2026","0.595","0.592","0.600","0.580","480.94K","-2.30%"
"02/17/2026","0.609","0.645","0.645","0.594","382.22K","-3.79%"
"02/16/2026","0.633","0.640","0.649","0.632","793.81K","-2.01%"
"02/13/2026","0.646","0.649","0.677","0.646","1.37M","0.62%"
"02/12/2026","0.642","0.657","0.660","0.631","1.54M","-2.28%"
"02/11/2026","0.657","0.628","0.660","0.616","2.03M","4.62%"
"02/10/2026","0.628","0.606","0.660","0.606","1.12M","3.63%"
"02/09/2026","0.606","0.567","0.621","0.565","2.29M","10.99%"
"02/06/2026","0.546","0.549","0.556","0.542","135.87K","0.18%"
"02/05/2026","0.545","0.567","0.567","0.544","156.60K","-1.80%"
"02/04/2026","0.555","0.550","0.569","0.550","309.15K","0.91%"
"02/03/2026","0.550","0.542","0.551","0.542","153.01K","-0.36%"
"02/02/2026","0.552","0.560","0.560","0.535","572.03K","-0.72%"
"01/30/2026","0.556","0.542","0.570","0.534","1.08M","5.50%"
"01/29/2026","0.527","0.568","0.570","0.527","1.01M","-4.53%"
"01/28/2026","0.552","0.576","0.598","0.521","1.61M","-3.16%"
"01/27/2026","0.570","0.496","0.570","0.481","5.08M","14.92%"
"01/26/2026","0.496","0.484","0.496","0.484","155.66K","0.20%"
"01/23/2026","0.495","0.495","0.495","0.495","0.00K","1.43%"
"01/22/2026","0.488","0.488","0.488","0.488","0.10K","-2.20%"
"01/21/2026","0.499","0.478","0.500","0.478","147.74K","-0.20%"
"01/20/2026","0.500","0.498","0.500","0.478","335.50K","1.21%"
