"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2026","1.95","2.06","2.10","1.95","23.90M","-5.34%"
"02/18/2026","2.06","2.04","2.11","2.00","27.47M","0.49%"
"02/17/2026","2.05","2.13","2.14","2.03","25.48M","-3.76%"
"02/16/2026","2.13","2.21","2.23","2.13","16.28M","-3.18%"
"02/13/2026","2.20","2.25","2.26","2.18","17.37M","-2.65%"
"02/12/2026","2.26","2.25","2.28","2.23","7.52M","0.44%"
"02/11/2026","2.25","2.36","2.36","2.25","29.12M","-6.25%"
"02/10/2026","2.40","2.36","2.43","2.34","23.52M","2.13%"
"02/09/2026","2.35","2.29","2.38","2.27","37.41M","3.52%"
"02/06/2026","2.27","2.27","2.31","2.25","29.26M","0.89%"
"02/05/2026","2.25","2.28","2.29","2.25","9.36M","-1.32%"
"02/04/2026","2.28","2.22","2.32","2.20","40.26M","2.70%"
"02/03/2026","2.22","2.23","2.24","2.19","17.67M","0.45%"
"02/02/2026","2.21","2.25","2.29","2.21","14.17M","-2.21%"
"01/30/2026","2.26","2.23","2.26","2.22","12.83M","1.80%"
"01/29/2026","2.22","2.31","2.33","2.22","21.79M","-3.90%"
"01/28/2026","2.31","2.33","2.35","2.29","12.76M","-0.43%"
"01/27/2026","2.32","2.32","2.38","2.32","11.21M","0.87%"
"01/26/2026","2.30","2.45","2.45","2.30","11.62M","-5.74%"
"01/23/2026","2.44","2.44","2.45","2.42","5.17M","0.00%"
"01/22/2026","2.44","2.44","2.46","2.40","20.75M","0.00%"
"01/21/2026","2.44","2.45","2.45","2.41","5.70M","-0.41%"
"01/20/2026","2.45","2.50","2.50","2.42","12.87M","-1.61%"
"01/19/2026","2.49","2.51","2.55","2.48","10.81M","-0.40%"
"01/16/2026","2.50","2.49","2.51","2.47","5.96M","2.04%"
"01/15/2026","2.45","2.50","2.53","2.42","18.79M","-0.81%"
"01/14/2026","2.47","2.59","2.63","2.47","19.74M","-4.63%"
"01/13/2026","2.59","2.59","2.63","2.58","12.33M","0.78%"
